  0.10000000000000001                    (160.45457283177365,0.0000000000000000)   1.0000000000000000        1.0000000000000000     
  0.20000000000000001                    (160.45466631614974,0.0000000000000000)   1.0000000000000000        1.0000000000000000     
  0.30000000000000004                    (160.45482212332215,0.0000000000000000)   1.0000000000000000        1.0000000000000000     
  0.40000000000000002                    (160.45504025310939,0.0000000000000000)   1.0000000000000000        1.0000000000000000     
  0.50000000000000000                    (160.45532070525724,0.0000000000000000)   1.0000000000000000        1.0000000000000000     
  0.60000000000000009                    (160.45566347943893,0.0000000000000000)   1.0000000000000000        1.0000000000000000     
  0.70000000000000007                    (160.45606857525507,0.0000000000000000)   1.0000000000000000        1.0000000000000000     
  0.80000000000000004                    (160.45653599223360,0.0000000000000000)   1.0000000000000000        1.0000000000000000     
  0.90000000000000002                    (160.45706572982991,0.0000000000000000)   1.0000000000000000        1.0000000000000000     
   1.0000000000000000                    (160.45765778742674,0.0000000000000000)   1.0000000000000000        1.0000000000000000     
   1.1000000000000001                    (160.45831216433430,0.0000000000000000)   1.0000000000000000        1.0000000000000000     
   1.2000000000000002                    (160.45902885979010,0.0000000000000000)   1.0000000000000000        1.0000000000000000     
   1.3000000000000000                    (160.45980787295912,0.0000000000000000)   1.0000000000000000        1.0000000000000000     
   1.4000000000000001                    (160.46064920293372,0.0000000000000000)   1.0000000000000000        1.0000000000000000     
   1.5000000000000000                    (160.46155284873367,0.0000000000000000)   1.0000000000000000        1.0000000000000000     
   1.6000000000000001                    (160.46251880930623,0.0000000000000000)   1.0000000000000000        1.0000000000000000     
   1.7000000000000002                    (160.46354708352595,0.0000000000000000)   1.0000000000000000        1.0000000000000000     
   1.8000000000000000                    (160.46463767019497,0.0000000000000000)   1.0000000000000000        1.0000000000000000     
   1.9000000000000001                    (160.46579056804273,0.0000000000000000)   1.0000000000000000        1.0000000000000000     
   2.0000000000000000                    (160.46700577572622,0.0000000000000000)   1.0000000000000000        1.0000000000000000     
   2.1000000000000001                    (160.46828329182983,0.0000000000000000)   1.0000000000000000        1.0000000000000000     
   2.2000000000000002                    (160.46962311486544,0.0000000000000000)   1.0000000000000000        1.0000000000000000     
   2.3000000000000003                    (160.47102524327235,0.0000000000000000)   1.0000000000000000        1.0000000000000000     
   2.4000000000000004                    (160.47248967541742,0.0000000000000000)   1.0000000000000000        1.0000000000000000     
   2.5000000000000000                    (160.47401640959495,0.0000000000000000)   1.0000000000000000        1.0000000000000000     
   2.6000000000000001                    (160.47560544402677,0.0000000000000000)   1.0000000000000000        1.0000000000000000     
   2.7000000000000002                    (160.47725677686216,0.0000000000000000)   1.0000000000000000        1.0000000000000000     
   2.8000000000000003                    (160.47897040617801,0.0000000000000000)   1.0000000000000000        1.0000000000000000     
   2.9000000000000004                    (160.48074632997864,0.0000000000000000)   1.0000000000000000        1.0000000000000000     
   3.0000000000000000                    (160.48258454619602,0.0000000000000000)   1.0000000000000000        1.0000000000000000     
   3.1000000000000001                    (160.48448505268959,0.0000000000000000)   1.0000000000000000        1.0000000000000000     
   3.2000000000000002                    (160.48644784724644,0.0000000000000000)   1.0000000000000000        1.0000000000000000     
   3.3000000000000003                    (160.48847292758117,0.0000000000000000)   1.0000000000000000        1.0000000000000000     
   3.4000000000000004                    (160.49056029133601,0.0000000000000000)   1.0000000000000000        1.0000000000000000     
   3.5000000000000000                    (160.49270993608076,0.0000000000000000)   1.0000000000000000        1.0000000000000000     
   3.6000000000000001                    (160.49492185931288,0.0000000000000000)   1.0000000000000000        1.0000000000000000     
   3.7000000000000002                    (160.49719605845752,0.0000000000000000)   1.0000000000000000        1.0000000000000000     
   3.8000000000000003                    (160.49953253086736,0.0000000000000000)   1.0000000000000000        1.0000000000000000     
   3.9000000000000004                    (160.50193127382283,0.0000000000000000)   1.0000000000000000        1.0000000000000000     
   4.0000000000000000                    (160.50439228453206,0.0000000000000000)   1.0000000000000000        1.0000000000000000     
   4.1000000000000005                    (160.50691556013078,0.0000000000000000)   1.0000000000000000        1.0000000000000000     
   4.2000000000000002                    (160.50950109768254,0.0000000000000000)   1.0000000000000000        1.0000000000000000     
   4.2999999999999998                    (160.51214889417858,0.0000000000000000)   1.0000000000000000        1.0000000000000000     
